fecha,tweet
2018-05-31 23:37:47,b'RT @_flyAndy: Espero sus felicitaciones y regalos \xf0\x9f\x98\x9c Feliz d\xc3\xada a todos mis compa\xc3\xb1eros sobrecargos. #Felizdiadelsobrecargo #volaris https://t\xe2\x80\xa6'
2018-05-31 22:48:30,b'@viajaVolaris Cren que su problema se solucione hoy y apovechar las promociones? llevo 3 horas intentando y no pued\xe2\x80\xa6 https://t.co/vVw7czkk7F'
2018-05-31 22:14:07,b'#Volaris haciendo negocio hasta por qu\xc3\xa9 te quieres echar un \xf0\x9f\x92\xa8... que no mamen https://t.co/8R1hmsa3qm'
2018-05-31 20:07:19,b'Dos cosas: \n1- #Volaris sucks!\n2- \xc2\xbfQu\xc3\xa9 pedo con el tr\xc3\xa1fico de #CDMX?'
2018-05-31 19:22:43,b'#Volaris #Airbus #A320 N520VL #Torreon #TRC \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb #GDL #Guadalajara https://t.co/0cq7ZF0jDB'
2018-05-31 19:17:25,b'#VivaAerobus XA-VAP #Volaris N520VL     #Airbus #A320 #Torreon #MMTC #TRC https://t.co/6poUXxTEg9'
2018-05-31 18:13:10,"b'Regreso a #Guadalajara 1\xc3\xa9xito nuestra visita gracias agencias y operadores por su hospitalidad, Viaje a Gua-Gdl vlo\xe2\x80\xa6 https://t.co/tTP8iwiZoS'"
2018-05-31 14:57:25,b'RT @_flyAndy: Espero sus felicitaciones y regalos \xf0\x9f\x98\x9c Feliz d\xc3\xada a todos mis compa\xc3\xb1eros sobrecargos. #Felizdiadelsobrecargo #volaris https://t\xe2\x80\xa6'
2018-05-31 14:35:52,b'Espero sus felicitaciones y regalos \xf0\x9f\x98\x9c Feliz d\xc3\xada a todos mis compa\xc3\xb1eros sobrecargos. #Felizdiadelsobrecargo #volaris https://t.co/U6yyYKt5wm'
2018-05-30 20:56:34,"b'Otra vez vuelo retrasado #volaris vuelo 425, hasta ahorita 30 minutos!! qu\xc3\xa9 pasa con las aerol\xc3\xadneas??'"
2018-05-30 18:00:49,b'RT @pepegarza: Yo soy de la \xc3\xa9poca en que en los aviones no vend\xc3\xadan tortas de queso de puerco . #volaris #contodojoven? https://t.co/rJUpCCK\xe2\x80\xa6'
2018-05-30 13:42:29,b'RT @pepegarza: Yo soy de la \xc3\xa9poca en que en los aviones no vend\xc3\xadan tortas de queso de puerco . #volaris #contodojoven? https://t.co/rJUpCCK\xe2\x80\xa6'
2018-05-30 12:47:04,b'Para variar #volaris con 45 minutos de retraso y contando ... Adem\xc3\xa1s las aeromozas parecen prefectas de disciplina \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #vuelo744'
2018-05-30 04:53:49,b'El letrotas!!\n#volaris #airbus #airbusa320neo\xe2\x80\xa6 https://t.co/4h5u8sgYh1'
2018-05-30 02:26:41,b'RT @pepegarza: Yo soy de la \xc3\xa9poca en que en los aviones no vend\xc3\xadan tortas de queso de puerco . #volaris #contodojoven? https://t.co/rJUpCCK\xe2\x80\xa6'
2018-05-29 22:55:32,b'RT @kiingfierro: #Volaris charging us extra 500 pesos for 1/2 a pound over the weight limit \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @volaris'
2018-05-29 21:22:57,b'Yo soy de la \xc3\xa9poca en que en los aviones no vend\xc3\xadan tortas de queso de puerco . #volaris #contodojoven? https://t.co/rJUpCCKwcL'
2018-05-29 17:08:56,b'Cc tu pr\xc3\xb3ximo vuelo Vhsa-CdMx te sale en $74.00. Gracias #Volaris'
2018-05-29 14:14:44,"b'#volaris es experto en las peores experiencias de usuario, alguien que le d\xc3\xa9 un premio \xf0\x9f\xa5\x87'"
2018-05-29 07:05:35,"b'@viajaVolaris No gracias #Volaris, ni aunque me regalen un vuelo vuelvo a viajar con ustedes. Les d\xc3\xad muchas oportun\xe2\x80\xa6 https://t.co/vh9kP06PD7'"
2018-05-28 23:05:25,b'#volaris  que pasa con su servicio?'
2018-05-28 19:46:38,b'RT @Entera2mx: AVIONES MUY VIEJOS OPERAN EN M\xc3\x89XICO\nLa Direcci\xc3\xb3n General de Aerona\xc3\xbatica Civil revel\xc3\xb3 que hay aviones con m\xc3\xa1s de 30 a\xc3\xb1os oper\xe2\x80\xa6'
2018-05-28 19:43:11,b'RT @Entera2mx: AVIONES MUY VIEJOS OPERAN EN M\xc3\x89XICO\nLa Direcci\xc3\xb3n General de Aerona\xc3\xbatica Civil revel\xc3\xb3 que hay aviones con m\xc3\xa1s de 30 a\xc3\xb1os oper\xe2\x80\xa6'
2018-05-28 18:38:13,b'RT @Entera2mx: AVIONES MUY VIEJOS OPERAN EN M\xc3\x89XICO\nLa Direcci\xc3\xb3n General de Aerona\xc3\xbatica Civil revel\xc3\xb3 que hay aviones con m\xc3\xa1s de 30 a\xc3\xb1os oper\xe2\x80\xa6'
2018-05-28 17:48:01,b'AVIONES MUY VIEJOS OPERAN EN M\xc3\x89XICO\nLa Direcci\xc3\xb3n General de Aerona\xc3\xbatica Civil revel\xc3\xb3 que hay aviones con m\xc3\xa1s de 30\xe2\x80\xa6 https://t.co/Z1yIA7baYM'
2018-05-28 16:56:20,b'#volaris es lamentable el incumplimiento de las aerol\xc3\xadneas en #Mexico y la falta de atenci\xc3\xb3n hacia los usuarios\xe2\x80\xa6 https://t.co/4l2va8YSgW'
2018-05-28 15:46:47,"b'@Volaris @viajaVolaris #volaris #quejasvolaris 23 de mayo reserva por internet, mismo 23 de mayo pago en Oxxo , 25\xe2\x80\xa6 https://t.co/OsMKyQYLSf'"
2018-06-07 02:59:43,b'RT @CarolyGarcia_B: El avi\xc3\xb3n esta inundado de mosquitos \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #volaris'
2018-06-07 02:59:18,b'RT @OmarMayahua: Mientras tu pagas la porqueria de sevicio de @viajaVolaris dejas pasar la oportunidad de ver a la #PanteraRosa comiendo pa\xe2\x80\xa6'
2018-06-07 02:55:59,b'RT @erimitzu: Por cuesti\xc3\xb3n de horario decid\xc3\xad volar con volaris nuevamente p\xc3\xa9sima experiencia .... de verdad #volaris @viajaVolaris .. p\xc3\xa9sim\xe2\x80\xa6'
2018-06-07 02:53:36,"b'RT @LICJHERNANDEZ: Puedes viajar de trabajo por dos dias y no pasa nada, el verdadero martirio es volar en #Volaris @viajaVolaris eso si ca\xe2\x80\xa6'"
2018-06-07 02:47:25,"b""RT @sangild: @flyvolaris Be aware!!! Suitcases get list in that flight, and volaris wouldn't care!!!!! HELP!!! #Volaris"""
2018-06-06 19:35:15,b'RT @CapGRendon: Apenas unas horas antes de la #erupci\xc3\xb3n logr\xc3\xa9 captar esta imagen del #VolcanDeFuego en #Guatemala \n\n#Fumarola #Erupcion #Vo\xe2\x80\xa6'
2018-06-06 19:31:40,"b'\xe2\xad\x95\xef\xb8\x8f #Texas | #Volaris report\xc3\xb3 hoy una amenaza de bomba en su ruta #Houston - #Guadalajara, vuelo 891, durante el pro\xe2\x80\xa6 https://t.co/PLZ7dYAmwL'"
2018-06-06 19:09:35,"b'RT @caminosdelaire: La aerol\xc3\xadnea mexicana @viajaVolaris recibe ""amenza de bomba"" en sus mostradores del aeropuerto de Houston. Activan prot\xe2\x80\xa6'"
2018-06-06 19:01:45,"b'La aerol\xc3\xadnea mexicana @viajaVolaris recibe ""amenza de bomba"" en sus mostradores del aeropuerto de Houston. Activan\xe2\x80\xa6 https://t.co/dkXjcb4zxa'"
2018-06-06 18:31:11,b'#CDMX #Guatemala #VolcanFuego #voluntarios #AyudaGuatemala #Ayuda #volaris \xf0\x9f\x92\x99 \xf0\x9f\x87\xac\xf0\x9f\x87\xb9\nContacto por dm con @fratta https://t.co/mdvnS5VR1F'
2018-06-06 17:20:05,"b""@flyvolaris Be aware!!! Suitcases get list in that flight, and volaris wouldn't care!!!!! HELP!!! #Volaris"""
2018-06-06 17:01:28,"b""@flyvolaris #volaris doesn't care if they lost your luggage!!! Terrible"""
